source,jurisdiction,level,section,book,parent_title,node_title,normalized_title,node_type,suggested_saudi_domain,suggested_saudi_nizam,suggested_saudi_nizam_chapter,suggested_saudi_article_ref,saudi_nizam_url,suggested_hakeem_issue_path,mapping_type,confidence,needs_human_review
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,0,,,,الموسوعة الفقهية الكويتية — من كتاب البيع إلى نهاية الموسوعة,الموسوعه الفقهيه الكويتيه من كتاب البيع الي نهايه الموسوعه,fiqh_root,—,—,—,—,—,الموسوعة الفقهية الكويتية — من كتاب البيع إلى نهاية الموسوعة,fiqh_seed,0.9,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,1,المعاملات المالية,,الموسوعة الفقهية الكويتية — من كتاب البيع إلى نهاية الموسوعة,المعاملات المالية,المعاملات الماليه,fiqh_section,المعاملات المدنية / التجارية,نظام المعاملات المدنية,—,—,—,المعاملات المالية,fiqh_seed,0.85,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,2,المعاملات المالية,البيع,المعاملات المالية,البيع,البيع,fiqh_book,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,3,المعاملات المالية,البيع,البيع,أركان البيع,اركان البيع,fiqh_chapter,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع,fiqh_seed,0.75,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: التعريف والمفهوم,اركان البيع التعريف والمفهوم,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: التعريف والمفهوم,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الحكم والمشروعية,اركان البيع الحكم والمشروعيه,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الحكم والمشروعية,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الشروط المعتبرة,اركان البيع الشروط المعتبره,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الشروط المعتبرة,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الأنواع والأقسام,اركان البيع الانواع والاقسام,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الأنواع والأقسام,fiqh_seed,0.8,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الصور والتطبيقات,اركان البيع الصور والتطبيقات,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الصور والتطبيقات,fiqh_seed,0.7,True
Kuwaiti Fiqh Encyclopedia (الموسوعة الفقهية الكويتية),Fiqh,4,المعاملات المالية,البيع,أركان البيع,أركان البيع: الموانع وما يبطله ويفسده,اركان البيع الموانع وما يبطله ويفسده,transactions_issue,المعاملات المدنية / التجارية,نظام المعاملات المدنية,العقود المسماة > العقود الناقلة للملكية > عقد البيع,يُحدَّد بالمراجعة,https://laws.moj.gov.sa/ar/legislation/PBbHmywh1XMp-Kyv3NtQLg,المعاملات المالية > البيع > أركان البيع > أركان البيع: الموانع وما يبطله ويفسده,fiqh_seed,0.7,True
